Examen1,Tarea1,Proyecto1,Proyecto2,Nota
0.6161849710982659,0.76,1.0,1.0,80.2
0.14566473988439305,0.0,0.0,0.0,2.5
0.5734104046242774,1.0,1.0,0.45,80.8
0.7121387283236994,0.667,1.0,1.0,82.1
0.6369942196531792,0.24,0.425,0.6,69.4
0.44508670520231214,0.48,0.45299999999999996,0.6,76.6
0.6589595375722543,0.0,1.0,0.6,70.7
0.6057803468208092,0.667,0.8,1.0,79.3
0.46589595375722537,0.48,0.793,0.62,67.6
0.5630057803468208,0.667,0.767,1.0,77.6
0.7017341040462428,0.48,0.708,0.6,75.2
0.38034682080924853,0.373,0.54,0.6,72.4
0.6589595375722543,0.373,1.0,0.6,78.6
0.6057803468208092,0.0,0.0,0.62,25.9
0.44508670520231214,0.33299999999999996,0.34,0.6,67.9
0.3375722543352601,0.147,0.5,0.6,50.2
0.6161849710982659,0.48,0.48200000000000004,0.45,68.2
0.7664739884393063,0.33299999999999996,0.97,0.6,80.2
0.798843930635838,0.52,1.0,0.6,82.9
0.6913294797687861,0.853,0.708,0.54,76.3
0.08092485549132948,0.0,0.0,0.0,2.0
0.5086705202312138,0.187,0.65,0.62,58.0
0.3375722543352601,0.48,0.85,0.62,68.3
0.40231213872832366,0.373,0.7000000000000001,0.6,73.1
0.4878612716763006,0.29300000000000004,0.5,0.6,69.6
0.8601156069364162,1.0,1.0,1.0,96.0
0.47398843930635837,0.0,0.43,0.6,64.97
0.39306358381502887,0.533,0.5,1.0,79.64
0.1930635838150289,0.0,0.38,0.0,11.69
0.10404624277456646,0.387,0.2,0.0,10.8
0.8971098265895953,0.907,1.0,1.0,96.1
0.3341040462427745,0.0,0.67,0.6,70.44
0.7109826589595375,1.0,0.98,1.0,91.5
0.22196531791907512,0.0,0.48,0.6,54.59
0.8520231213872832,1.0,0.9500000000000001,1.0,91.8
0.47398843930635837,0.0,0.48,0.6,69.24
0.3699421965317919,0.34700000000000003,0.42,0.75,76.9
0.26705202312138726,0.533,0.62,0.75,76.11
0.4300578034682081,0.627,0.9,0.75,79.03
0.48208092485549137,0.33299999999999996,0.8,0.75,77.23
0.11098265895953756,0.0,0.0,0.0,5.92
0.3560693641618497,0.16,0.8200000000000001,0.75,75.11
1.0,1.0,1.0,1.0,97.61
0.31098265895953753,0.44,0.867,0.75,80.09
0.46127167630057797,0.813,0.85,0.7000000000000001,77.12
0.5063583815028901,0.33299999999999996,0.34,0.45,58.13
0.4312138728323699,0.09300000000000001,0.4,0.45,43.75
0.7930635838150288,0.2,0.533,0.9500000000000001,83.63
0.3329479768786127,0.33299999999999996,0.52,0.65,74.67
0.40115606936416187,0.76,0.85,0.7000000000000001,81.16
0.38497109826589593,0.0,0.4,0.9500000000000001,73.35
0.2797687861271676,0.667,0.85,0.97,81.03
0.2566473988439306,0.48,0.34,0.7000000000000001,73.1
0.0,0.09300000000000001,0.0,0.0,1.25
0.8011560693641617,0.0,0.62,0.633,78.57
0.25780346820809247,0.24,0.85,0.7000000000000001,78.19
0.6497109826589595,1.0,0.8200000000000001,0.97,92.61
0.26473988439306356,0.147,0.72,0.7000000000000001,72.41
0.861271676300578,1.0,1.0,0.97,93.99
0.5063583815028901,0.147,0.4,0.9500000000000001,79.1
0.5063583815028901,0.0,0.18,0.45,47.13
0.0,0.24,0.23,0.0,4.09
0.33988439306358376,0.573,0.85,0.7000000000000001,76.16
0.39306358381502887,0.907,0.9,0.7000000000000001,81.95
0.3780346820809249,0.24,0.4,0.65,73.36
0.5445086705202312,1.0,0.8300000000000001,0.7000000000000001,79.32
0.3179190751445087,0.0,0.8200000000000001,0.633,73.19
0.0,0.0,0.0,0.0,0.9
0.4080924855491329,0.0,0.7000000000000001,0.9500000000000001,70.08
0.7710982658959538,1.0,0.9400000000000001,0.97,91.02
0.6046242774566474,0.0,1.0,0.633,73.41
1.0,1.0,1.0,1.0,94.97
0.6161849710982659,1.0,0.98,1.0,87.85
0.6416184971098265,1.0,0.85,0.7000000000000001,84.43
0.315606936416185,0.33299999999999996,0.47500000000000003,0.7170000000000001,67.94
0.057803468208092484,0.8,0.14,0.0,10.86
0.6485549132947976,0.7000000000000001,0.271,0.55,66.38
0.40231213872832366,0.133,0.23,0.55,59.96
0.48092485549132946,1.0,0.85,0.7000000000000001,74.19
0.057803468208092484,0.0,0.0,0.0,0.75
0.42080924855491325,0.0,0.325,0.55,61.86
0.315606936416185,0.0,0.0,1.0,38.39
0.28439306358381505,0.106,0.521,0.48,39.24
0.6728323699421965,0.8,1.0,0.883,87.62
0.9040462427745665,0.667,1.0,0.883,87.61
0.057803468208092484,0.56,0.5700000000000001,0.0,10.44
0.8323699421965317,0.7000000000000001,1.0,1.0,88.7
0.37109826589595374,0.133,1.0,0.0,22.01
0.5618497109826589,0.8,0.521,0.48,36.27
0.20578034682080926,0.134,0.36,0.7170000000000001,59.59
0.5491329479768786,0.534,0.231,0.48,44.57
0.4878612716763006,0.0,0.0,0.48,23.79
0.6554913294797687,1.0,0.85,0.7000000000000001,85.18
0.8323699421965317,0.8,1.0,1.0,88.17
0.9017341040462428,1.0,1.0,0.7170000000000001,88.04
0.6578034682080924,0.7000000000000001,0.76,0.7170000000000001,68.76
0.5641618497109826,1.0,1.0,0.883,87.66
0.6855491329479768,1.0,0.61,0.7000000000000001,84.18
0.7664739884393063,1.0,1.0,0.883,87.47
0.6289017341040462,1.0,1.0,1.0,86.24
0.8323699421965317,1.0,1.0,1.0,87.31
0.3653179190751445,0.0,0.838,1.0,69.37
